Category Number,Category,Sub Category,Name,What,Special Dietary Requirements 1,Special Dietary Requirements 2,Special Dietary Requirements 3,Who,Suburb,Enter Via,Contact Person,Phone,Phone 2,Freecall,Email,Website,Alternate Website,Social Media,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Public Holidays,Access,Cost,Tram routes,Nearest train station,Bus routes,Car parking,Bicycle parking,Walking,Address 1,Address 2,Latitude,Longitude,Geocoded Location
1,Community Gardens,Privately owned/managed garden,East Melbourne community garden,Community garden for the East Melbourne Community Garden Group with 10 plots. Land is leased for $1 per year for 12 months (option to extend).,,,, East Melbourne Community Garden Group,Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,230-298 Wellington Parade ,-37.812581000000002,144.98045200000001,"(-37.812581000000002, 144.98045200000001)"
1,Community Gardens,School garden,Yarra Park Children’s Centre school garden,,,,,School students,East Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,27 Berry Street,-37.818922999999998,144.988551,"(-37.818922999999998, 144.988551)"
1,Community Gardens,Public housing estate garden,Buncle Street community garden,"45 plots tucked in beside the North Melbourne Community Centre. Home to gardeners mostly from Central America, South America and China, the garden is a peaceful space where a love of growing is freely shared amongst the gardeners despite language barriers. Managed by Cultivating Community.",,,,Public housing tenants,North Melbourne,,,,,,,,,,,,,,,,,,Must apply for a plot,$20 per year,,,,,,,,49-53 Buncle Street,-37.793166999999997,144.94024300000001,"(-37.793166999999997, 144.94024300000001)"
1,Community Gardens,Public housing estate garden,Carlton community garden,The 530 Lygon Street Community Garden was rebuilt during 2012 with financial support provided by the Department of Human Services and philanthropic sources. The garden is specially designed to assist older residents.,,,,Public housing tenants,Carlton,,,,,,,,,,,,,,,,,,Must apply for a plot,,,,,,,,,530 Lygon Street ,-37.793785,144.96832000000001,"(-37.793785, 144.96832000000001)"
1,Community Gardens,Public housing estate garden,Kensington Housing Estate community garden,,,,,Public housing tenants,Kensington,,,,,,,,,,,,,,,,,,,,,,,,,,,78 Clifford Terrace ,-37.796847,144.92704699999999,"(-37.796847, 144.92704699999999)"
1,Community Gardens,School garden,Lady Huntington Children’s Centre,"5 child height plots, used for kindergarten education program and for produce for the children's day menus. ",,,,School students,North Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,87- 93 Haines Street,-37.798349999999999,144.94492700000001,"(-37.798349999999999, 144.94492700000001)"
1,Community Gardens,Public housing estate garden,Alfred Street community garden,"60 plots located at the base of the Alfred Street high rise block in North Melbourne, this garden feels very much like the tenants’ backyard.  It was refurbished through our Garden Improvement program in 2012, with financial support provided by the Department of Human Services. The food grown in this garden reflects the cultural diversity of the local community, including many Vietnamese and African gardeners. Managed by Cultivating Community.",,,,Public housing tenants,North Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfred Street,-37.790759999999999,144.939728,"(-37.790759999999999, 144.939728)"
1,Community Gardens,Privately owned/managed garden,Kensington community garden ,"Provides 38-49 private plots for hire that are available to Kensington residents to grow herbs, vegetables and flowers. Run by YMCA. Does not conduct community development activities or provide education workshops. ",,,,Plots allocated to 3031 residents only. ,Kensington,,,(03) 9376 1633,,,,,,,,,,,,,,,Must apply. Plots allocated to 3031 residents only. ,,,,,,,,Kensington Community Recreation Centre,Corner Westbourne Road and Cornish Lane,-37.793447999999998,144.92035300000001,"(-37.793447999999998, 144.92035300000001)"
1,Community Gardens,Public housing estate garden,Crown Street community garden,Located on a high-rise estate close to Melbourne showgrounds. Managed by Cultivating Community.,,,,Public housing tenants,Carlton,,,,,,,,,,,,,,,,,,,,,,,,,,,Crown Street,-37.785428000000003,144.92287999999999,"(-37.785428000000003, 144.92287999999999)"
1,Community Gardens,School garden,Carlton Primary School,,,,,School students,Carlton,,,,,,,,,,,,,,,,,,,,,,,,,,,Drummond Street,-37.799804000000002,144.968524,"(-37.799804000000002, 144.968524)"
