Category,Sub Category,Name,Who,Suburb,Address 1,Address 2,Latitude,Longitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Free and cheap meals,On Street Service,Collingwood Soup Van,Open to everyone,Richmond,,Corner of Hoddle Street and Wellington Parade,-37.816921000000001,144.99015399999999,"(2,)",(),(),(),(),(),()
Free and cheap meals,Breakfast / Lunch,"Anglicare, The Lazarus Centre",Chronic homeless and rough sleepers,East Melbourne,St Peter’s Eastern Hill,15 Gisborne Street,-37.809910000000002,144.97548599999999,"(0,)","(0,)","(0,)","(0,)","(0, 1)","(0,)","(0,)"
Free and cheap meals,Dinner,Baptist Church,Open to everyone,Melbourne,Credo Café,174 Collins Street,-37.814960999999997,144.967725,(),(),(),(),(),(),"(2,)"
Free and cheap meals,Lunch,Church of All Nations,Open to everyone,Carlton,Church of All Nations,180 Palmerston Street,-37.795940999999999,144.96864199999999,(),"(1,)",(),(),(),(),"(1,)"
Free and cheap meals,Breakfast / lunch / dinner,"Hare Krishna Temple, Food For Life",Open to everyone,Albert Park,,197 Danks Street,-37.848050999999998,144.954037,"(0, 1, 2)","(0, 1, 2)","(0, 1, 2)","(0, 1, 2)","(0, 1, 2)","(0, 1, 2)","(0, 1, 2)"
Free and cheap meals,Lunch,"Anglicare, St Mark's Church Community Centre",Chronic homeless and rough sleepers,Fitzroy,St Mark's Church Community Centre,250 George Street,-37.801611000000001,144.98183499999999,"(1,)","(1,)","(1,)","(1,)","(1,)",(),()
Free and cheap meals,Lunch,"Collingwood Neighbourhood House, Mother's Kitchen",Open to everyone,Collingwood,Collingwood Neighbourhood House,253 Hoddle Street,-37.801488999999997,144.99161799999999,(),"(1,)",(),(),(),"(1,)",()
Free and cheap meals,Lunch,Open Table ,Open to everyone,Collingwood,Collingwood Neighbourhood House,253 Hoddle Street,-37.801488999999997,144.99161799999999,(),(),(),(),(),(),"(1,)"
Free and cheap meals,Breakfast / lunch,Ozanam Community Centre,Open to everyone. ,North Melbourne,,268 Abbotsford Street,-37.800795000000001,144.946225,"(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)",(),()
Free and cheap meals,Dinner,"Open Door, Seventh Day Adventist Church",Open to everyone,Fitzroy,,27 Alfred Crescent,-37.786231999999998,144.98536100000001,(),"(2,)",(),"(2,)",(),(),"(2,)"
