Sensor ID,Sensor Description,Latitude,Longitude
17,Collins Place (South),-37.8136254240211,144.973235916778
20,Chinatown-Russel St (South),-37.811729134669,144.968246601442
15,State Library,-37.8106437830727,144.964471322694
16,Australia on Collins,-37.8157342252752,144.965210438559
27,QV Market-Peel St,-37.8062043823034,144.956630585614
23,Spencer St-Collins St (South),-37.8190925593958,144.954527490176
37,Lygon St (East),-37.8013453319892,144.967123315373
21,Bourke St-Russel St (West),-37.8124803013205,144.967730746932
28,The Arts Centre,-37.8212992424763,144.968793093492
41,Fitzroy Gardens Visitor Centre,-37.8136318474239,144.9810842168
38,Flinders St-Swanston St (West),-37.8170916806555,144.96714779185
33,Flinders St-Spring St (West),-37.8148325157834,144.974540556573
2,Bourke Street Mall (South),-37.8138066724228,144.965167185971
7,Birrarung Marr,-37.8183237506589,144.971414820121
43,Monash Rd-Swanston St (West),-37.7984452524968,144.964117822271
26,QV Market-Elizabeth St (West),-37.8086954214778,144.960494038903
24,Spencer St-Collins St (North),-37.8188796214196,144.95449198131
6,Flinders Street Station Underpass,-37.8191170445268,144.965582558609
22,Flinders St-Elizabeth St (East),-37.8178644478193,144.965068228214
10,Victoria Point,-37.8187647327542,144.947105451213
44,Tin Alley-Swanston St (West),-37.7968227197363,144.964353917115
39,Alfred Place,-37.8138475498556,144.970330591529
9,Southern Cross Station,-37.8198825259225,144.951082845706
3,Melbourne Central,-37.8110530422788,144.964248046779
30,Lonsdale St (South),-37.8112184919515,144.966568066001
29,St. Kilda Rd-Alexandra Gardens,-37.819658083823,144.968634533137
25,Melbourne Convention Exhibition Centre,-37.8240318840833,144.955931412038
18,Collins Place (North),-37.8134486106919,144.973053538633
13,Flagstaff Station,-37.8123434709568,144.956647742336
4,Town Hall (West),-37.8148798759503,144.966087801437
34,Flinders St-Spark La,-37.8153798501116,144.974150495806
40,Lonsdale St-Spring St (West),-37.8099934057793,144.972275879457
31,Lygon St (West),-37.8016968046535,144.966589114895
1,Bourke Street Mall (North),-37.8134944036338,144.965153237914
19,Chinatown-Swanston St (North),-37.8123720170999,144.965506710649
32,City Square,-37.8157374166874,144.966857177706
42,Grattan St-Swanston St (West),-37.8000856548236,144.963864121768
5,Princes Bridge,-37.8187424894411,144.967876562712
11,Waterfront City,-37.8154565643471,144.939579299407
36,Queen St (West),-37.8164707984673,144.961276928328
8,Webb Bridge,-37.8229354263742,144.947175106953
12,New Quay,-37.8145798719868,144.942923981029
14,Sandridge Bridge,-37.8201124166947,144.96291897546
